ลำดับ,รายการ,Worksheet,จำนวน,ราคา/หน่วย,หน่วย,จำนวนเงิน,cost,ราคาขาย,Barcode
1,ไม้แขวนเสื้อ - ลวด 111 หนุมาน STCP,1201,5 ลัง,572,12.0,2860,48.0,79.0,
2,แขวนเสื้อลวด+หนีบ 99 SM,1201,2 ลัง,495,12.0,990,41.0,59.0,
3,กล่องล็อค 560 หูหิ้ว W,1201,1 โหล,637,12.0,637,53.0,79.0,
4,กล่องล็อค(39) 561 WW,1201,1 โหล,449,12.0,449,37.0,69.0,
5,กล่องล็อค 560/1 หูหิ้ว W,1201,1 โหล,480,12.0,480,40.0,69.0,
6,กล่องล็อค 561/1 W,1201,1 โหล,306,12.0,306,26.0,39.0,
7,ถัง+ฝา 12 สี BP,1201,2 โหล,1000,12.0,2000,83.0,139.0,
8,เข่ง NO.2 (สี) N,1201,10 ชิ้น,107,1.0,1070,107.0,179.0,
9,กะละมังเหลี่ยม 666 OS,1201,1 โหล,587,12.0,587,49.0,79.0,
10,กะละมัง 549 สี SMK,1201,2 โหล,340,12.0,680,28.0,49.0,
11,กะละมัง 058 สี OS,1201,1 โหล,555,12.0,555,46.0,79.0,
12,เก้าอี้ซักผ้ากลม 9025 สีหวาน AB V-NICE,1201,1 โหล,195,12.0,195,16.0,25.0,
13,เก้าอี้ซักผ้ากลม #9076D สีดำ WCP,1201,1 โหล,188,12.0,188,16.0,25.0,
14,เก้าอี้เตี้ย สีดำ S-0072B SIP,1201,1 โหล,196,12.0,196,16.0,25.0,
15,เก้าอี้เตี้ย 555 สีหวาน MM,1201,1 โหล,220,12.0,220,18.0,30.0,
16,เก้าอี้เตี้ย 366 สีหวาน Bl,1201,1 โหล,190,12.0,190,16.0,25.0,
17,คราดมือเสือ 023 NCL,1201,4 โหล,540,12.0,2160,45.0,79.0,
18,ถัง+ฝา 4.5 SRT,1201,1 โหล,735,12.0,735,61.0,99.0,
19,ถังน้ำฝาใส (ใหญ่) 728-PO SMT,1201,1 โหล,1253,12.0,1253,104.0,169.0,
20,ตะแกรง 1991 สีใส SRT,1201,1 โหล,563,12.0,563,47.0,79.0,
21,ตะแกรง 1990 สีใส-สีสด SRT,1201,1 โหล,770,12.0,770,64.0,99.0,
22,ตะแกรงเหลี่ยม จัมโบ้ 1989 SRT,1201,6 ชิ้น,82,1.0,492,82.0,139.0,
23,ตะแกรงเหลี่ยม 900 สีเข้ม RTH,1201,1 โหล,390,12.0,390,33.0,59.0,
24,ตะแกรง 9831 SMT,1201,1 โหล,730,12.0,730,61.0,99.0,
25,ตะกร้าเหลี่ยมเตี้ย 4000 สีเข้ม OS,1201,2 โหล,512,12.0,1024,43.0,69.0,
26,ตะกร้ากลม 9899/3 สีใส SMT,1201,2 โหล,297,12.0,594,25.0,39.0,
27,ตะกร้าเหลี่ยม มีหู สีหวาน 5948 JCP,1201,1 โหล,1020,12.0,1020,85.0,159.0,
29,ตะแกรงเหลี่ยม 818 KT,1201,3 โหล,93,12.0,279,8.0,15.0,
30,ตะกร้าเหลี่ยม 5953 หูหิ้ว JCP,1201,6 ชิ้น,100,1.0,600,100.0,179.0,
31,เก้าอี้ซักผ้าเหลี่ยมหลามตัด 9026 สีหวาน AB,1201,1 โหล,195,12.0,195,16.0,25.0,
32,ตะแกรงเหลี่ยม 410 สีใส LK,1201,1 โหล,682,12.0,682,57.0,89.0,
33,ตะแกรง 409 สีใส LK,1201,1 โหล,890,12.0,890,74.0,120.0,
34,ตะแกรงเหลี่ยม 903 สีเข้ม RTH,1201,3 โหล,198,12.0,594,17.0,25.0,
35,ตะแกรงเหลี่ยม 111 GL,1201,1 โหล,449,12.0,449,37.0,69.0,
36,เก้าอี้เตี้ย 610 ดำ CS,1201,2 โหล,112,12.0,224,9.0,15.0,
37,ตะกร้าฝาปิดหูหิ้ว 321-3N สีNEW (ใหญ่) VJ,1201,1 โหล,952,12.0,952,79.0,139.0,
38,นส.8 สี SP,1201,10 ชิ้น,89,1.0,890,89.0,159.0,
39,กะละมัง 004/58 สี SP,1201,1 โหล,375,12.0,375,31.0,59.0,
40,กะละมัง 004/75 ดำ SP,1201,1 โหล,924,12.0,924,77.0,159.0,
41,โต๊ะรีดผ้าเตี้ย ตัวเล็ก (18) ต-046 LW,1201,2 มัด,520,8.0,1040,65.0,120.0,
42,ตะกร้าฝาปิด(จัมโบ้)321/4 สีใส/หวาน V,1201,5 ชิ้น,169,1.0,845,169.0,259.0,
43,เก้าอี้ หน้ากลม 250-B สีเข้ม (ปักกิ่ง) SH,1201,1 โหล,670,12.0,670,56.0,89.0,
44,ถัง+ฝา 12 ตำ AC,1201,2 โหล,615,12.0,1230,51.0,79.0,
45,ถังฝา KF-008 สีดำ RTH,1201,2 โหล,510,12.0,1020,43.0,69.0,
46,ตะหลิวไม้ 12 แผงกระดาษ #9890 IMM,1201,1 โหล,168,12.0,168,14.0,20.0,8859403398908
47,ทัพพีพลาสติก 1*2 JP ตราสมอ,1201,1 โหล,150,12.0,150,13.0,20.0,8858477017333
48,ทัพพีตักข้าวใส 10611 ใส แผงกระดาษ IMM,1201,1 โหล,150,12.0,150,13.0,20.0,8859403310611
49,ตะแกรงกรองน้ำมัน-ด้ามสี 20cm #TL-664,1201,4 ชิ้น,65,1.0,260,65.0,100.0,8859828650681
50,ตีฟองนม แผงกระดาษ #7659 IMM,1201,1 แพค,98,6.0,98,16.0,30.0,
51,ไม้จิ้มฟัน LY-88731 ห่อพลาสติกใส LY,1201,1 โหล,144,12.0,144,12.0,20.0,6990711887318
52,กระชอน ชั้น 16cm SK16 PL,1201,1 แพค,330,6.0,330,55.0,99.0,6971292550167
53,"ถุงห่วงกาแฟ จัมโบ้6""(S.P.)NO.01 BIR",1201,2 โหล,165,12.0,330,14.0,30.0,31105277
54,ตะหลิวม้าลาย-เล็ก#104008 **ไม่รับคืน,1201,6 ชิ้น,57,1.0,342,57.0,89.0,8851991040085
55,ทัพพีม้าลาย - ด้ามดำจีน(เล็ก)**ไม่รับคืน,1201,6 ชิ้น,55,1.0,330,55.0,89.0,8851991030031
56,"กระชอนบดข้าวเลส #12(SKO12,9-19)",1201,2 โหล,195,12.0,390,16.0,25.0,8859999318120
57,"กระบวยด้ามดำ4.5"" L604 PL",1201,1 โหล,185,12.0,185,15.0,25.0,8859999006041
58,ตะหลิวม้าลาย-กลาง(บาร์42102)**ไม่รับคืน,1201,6 ชิ้น,115,1.0,690,115.0,179.0,
59,"ตะหลิวยาว4"" ด้ามดำ#FW-038 ม้าน้ำ",1201,2 แพค,75,6.0,150,13.0,20.0,868930405038
60,"ตะหลิวไม้ยาว4""(บาร์11133)ตราสมอ PLL",1201,6 ชิ้น,16,1.0,75,16.0,25.0,8858477011133
61,"ตะหลิวยาว4""ไม้ HFW-039 ม้าน้ำ MIFL",1201,1 แพค,75,6.0,75,13.0,25.0,868930405039
62,ทัพพีจีนใหญ่ด้ามพลาสติกสี ตราสมอ (P25),1201,1 โหล,175,12.0,175,15.0,25.0,
