new_product,matched_old_product,score
ไม้แขวนเสื้อ - ลวด 111 หนุมาน STCP,ไม้แขวนเสื้อ - ลวด 111 หนุมาน STCP,1.0
ไม้แขวนเสื้อ - ลวด 111 หนุมาน STCP,กระปุกฝาเกลียว 252-2 สูงซีลยาง W,0.7570559978485107
ไม้แขวนเสื้อ - ลวด 111 หนุมาน STCP,กระปุกฝาเกลียว513xl,0.7528331875801086
แขวนเสื้อลวด+หนีบ 99 SM,แขวนเสื้อลวด + หนีบ 99 SM,0.9936910271644592
แขวนเสื้อลวด+หนีบ 99 SM,เข็มขัดหัวเจาะ100,0.7948616743087769
แขวนเสื้อลวด+หนีบ 99 SM,กระปุกฝาเกลียวสูงชีลยาง,0.7857062816619873
กล่องล็อค 560 หูหิ้ว W,กล่องล็อค560หูหิ้ว,0.9342585802078247
กล่องล็อค 560 หูหิ้ว W,กล่องล็อค-หูคู่4404,0.8832371234893799
กล่องล็อค 560 หูหิ้ว W,กล่องล็อค-หูคู่4405 csc,0.87372887134552
กล่องล็อค(39) 561 WW,กล่องล็อค553smt,0.751376211643219
กล่องล็อค(39) 561 WW,กล่องล็อค561/1,0.7485860586166382
กล่องล็อค(39) 561 WW,กล่องล็อคยาว - หูหิ้วคู่ 563 ใหญ่ VW,0.7234247922897339
กล่องล็อค 560/1 หูหิ้ว W,กล่องล็อค560หูหิ้ว,0.9129277467727661
กล่องล็อค 560/1 หูหิ้ว W,กล่องล็อค-หูคู่4404,0.890914797782898
กล่องล็อค 560/1 หูหิ้ว W,กล่องล็อค-หูคู่4405 csc,0.8839367628097534
กล่องล็อค 561/1 W,กล่องล็อค561/1,0.9378002882003784
กล่องล็อค 561/1 W,กล่องล็อค553smt,0.8781652450561523
กล่องล็อค 561/1 W,กล่องล็อค560/2,0.8451170921325684
ถัง+ฝา 12 สี BP,ถัง + ฝา 12 สี BP,0.9945064187049866
ถัง+ฝา 12 สี BP,ถัง ปูน 15 สี SP,0.8714927434921265
ถัง+ฝา 12 สี BP,ถัง + ฝา 30 สี SP,0.8696935176849365
เข่ง NO.2 (สี) N,น.ส. 2 สี SP,0.8106080293655396
เข่ง NO.2 (สี) N,ทัพพีตักข้าวด้ามสี 1*2 #7664 แผง IMM,0.7849007248878479
เข่ง NO.2 (สี) N,น.ส. 12 สี SP,0.7643163800239563
กะละมังเหลี่ยม 666 OS,กะละมังเหลี่ยม 666 OS,0.9999998807907104
กะละมังเหลี่ยม 666 OS,กะละมังเหลี่ยม 888 OS **,0.8811750411987305
กะละมังเหลี่ยม 666 OS,กะละมังเหลี่ยม 777 OS**,0.8635432720184326
กะละมัง 549 สี SMK,กะละมัง 004/53 สี SP,0.891109049320221
กะละมัง 549 สี SMK,กะละมัง 549 ดำ SMK,0.8838268518447876
กะละมัง 549 สี SMK,กะละมัง 004/75 สี SP,0.8567599058151245
กะละมัง 058 สี OS,กะละมัง 058 สี OS,1.0
กะละมัง 058 สี OS,กะละมัง 053 สี OS,0.9523245096206665
กะละมัง 058 สี OS,กะละมังดอกไม้ 044 สีเข้ม OS,0.8775116801261902
เก้าอี้ซักผ้ากลม 9025 สีหวาน AB V-NICE,เก้าอี้ซักผ้าเหลี่ยม - หลามตัด 9026 สีหวาน AE,0.9286367893218994
เก้าอี้ซักผ้ากลม 9025 สีหวาน AB V-NICE,เก้าอี้ซักผ้า 345 สีสด A (AY),0.8900949358940125
เก้าอี้ซักผ้ากลม 9025 สีหวาน AB V-NICE,เก้าอี้ซักผ้า - หน้ากลม 346 สีสด A (AY),0.8835140466690063
เก้าอี้ซักผ้ากลม #9076D สีดำ WCP,เก้าอี้ซักผ้ากลม #9076D สีดำ WCP,1.0
เก้าอี้ซักผ้ากลม #9076D สีดำ WCP,เก้าอี้ซักผ้าเหลี่ยม - หลามตัด 9026 สีหวาน AE,0.8226116895675659
เก้าอี้ซักผ้ากลม #9076D สีดำ WCP,เก้าอี้ซักผ้า910สี,0.8146735429763794
เก้าอี้เตี้ย สีดำ S-0072B SIP,เก้าอี้เตี้ย 610 ดำ,0.8477451205253601
เก้าอี้เตี้ย สีดำ S-0072B SIP,เก้าอี้เตี้ย610ดำ,0.8462679982185364
เก้าอี้เตี้ย สีดำ S-0072B SIP,เก้าอี้เตี้ย - หน้าเหลี่ยม สีเข้มมันวาว RC-622,0.8051277995109558
เก้าอี้เตี้ย 555 สีหวาน MM,เก้าอี้เตี้ย 555 สีหวาน MM,0.9999999403953552
เก้าอี้เตี้ย 555 สีหวาน MM,เก้าอี้เตี้ย 114 สีหวาน CK,0.9087417125701904
เก้าอี้เตี้ย 555 สีหวาน MM,เก้าอี้เตี้ย610AB,0.8701691627502441
เก้าอี้เตี้ย 366 สีหวาน Bl,เก้าอี้เตี้ย 555 สีหวาน MM,0.9527560472488403
เก้าอี้เตี้ย 366 สีหวาน Bl,เก้าอี้เตี้ย610AB,0.9039726257324219
เก้าอี้เตี้ย 366 สีหวาน Bl,เก้าอี้เตี้ย 114 สีหวาน CK,0.9027079343795776
คราดมือเสือ 023 NCL,คราดมือเสือ 023 NCL,1.0
คราดมือเสือ 023 NCL,กะละมัง 65 สีหวาน ตราเสือ NPC,0.6912547945976257
คราดมือเสือ 023 NCL,เคเบิ้ลไทร์3*150,0.6765961647033691
ถัง+ฝา 4.5 SRT,ถัง + ฝา 4.5 SRT,0.9947208166122437
ถัง+ฝา 4.5 SRT,ถังฝา 4.5 SRT,0.967103123664856
ถัง+ฝา 4.5 SRT,ถัง + ฝา 6.5 SRT,0.9409792423248291
ถังน้ำฝาใส (ใหญ่) 728-PO SMT,ถังน้ำพร้อมฝา 94 ลิตร NO.26 #6124 สีดำ,0.800856351852417
ถังน้ำฝาใส (ใหญ่) 728-PO SMT,ถังขยะเหลี่ยมใหญ่ - เหยียบ (สีเข้ม) 300 SMA,0.7720065712928772
ถังน้ำฝาใส (ใหญ่) 728-PO SMT,ถัง + (ฝา) 1 แกนลอน 554 SMT,0.7642349600791931
ตะแกรง 1991 สีใส SRT,ตะแกรง 1990 สีใส-สีสด SRT,0.9415556192398071
ตะแกรง 1991 สีใส SRT,ฝาชี 46 สีเข้ม (SRT),0.8516303300857544
ตะแกรง 1991 สีใส SRT,ตะกร้ากลม 334 สีใส SRT,0.8440814018249512
ตะแกรง 1990 สีใส-สีสด SRT,ตะแกรง 1990 สีใส-สีสด SRT,0.9999999403953552
ตะแกรง 1990 สีใส-สีสด SRT,ตะกร้า 43 สีใส - สีสด SRT,0.8720345497131348
ตะแกรง 1990 สีใส-สีสด SRT,กระจาดกลม 911 สีสด/สีสดใส SRT,0.8604759573936462
ตะแกรงเหลี่ยม จัมโบ้ 1989 SRT,ตะแกรงเหลี่ยม - จัมโบ้ 1989 SRT,0.9898035526275635
ตะแกรงเหลี่ยม จัมโบ้ 1989 SRT,ตะกร้า 010 SRT,0.7169564962387085
ตะแกรงเหลี่ยม จัมโบ้ 1989 SRT,ฝาชี 60 SRT,0.706754744052887
ตะแกรงเหลี่ยม 900 สีเข้ม RTH,ตะแกรงเหลี่ยม 900 สีเข้ม RTH,1.0
ตะแกรงเหลี่ยม 900 สีเข้ม RTH,ตะแกรงเหลี่ยม 903 สีเข้ม RTH,0.9343063831329346
ตะแกรงเหลี่ยม 900 สีเข้ม RTH,ตะแกรงเหลี่ยม 900 สีหวาน RTH,0.8940569162368774
ตะแกรง 9831 SMT,ตะแกรง 9831 SMT,1.0
ตะแกรง 9831 SMT,ตะแกรงตาถี่ 9833 SMT,0.9322504997253418
ตะแกรง 9831 SMT,ตะแกรงตาถี่ 9832 SMT,0.9154343605041504
ตะกร้าเหลี่ยมเตี้ย 4000 สีเข้ม OS,ตะกร้าเหลี่ยมเตี้ย 4000 สีเข้ม OS,1.0000001192092896
ตะกร้าเหลี่ยมเตี้ย 4000 สีเข้ม OS,ถังนิ้ว 10 สี OS,0.7710367441177368
ตะกร้าเหลี่ยมเตี้ย 4000 สีเข้ม OS,ตะกร้าเหลี่ยม 5000 ลายคลื่น OS,0.7624812126159668
ตะกร้ากลม 9899/3 สีใส SMT,ตะกร้ากลม 9899/3 สีใส SMT,0.9999999403953552
ตะกร้ากลม 9899/3 สีใส SMT,ตะกร้ากลม 9899/1 สีใส SMT,0.9832264184951782
ตะกร้ากลม 9899/3 สีใส SMT,ตะกร้ากลม 9899/2 สีใส SMT,0.9804388284683228
ตะกร้าเหลี่ยม มีหู สีหวาน 5948 JCP,ตะกร้า-เหลี่ยม มีหู สีหวาน 5948 JCP,0.9915128946304321
ตะกร้าเหลี่ยม มีหู สีหวาน 5948 JCP,ตะกร้า - เหลี่ยม 5953 หูหิ้วคู่ JCP,0.8508569598197937
ตะกร้าเหลี่ยม มีหู สีหวาน 5948 JCP,กล่องล็อค8030หูคู่สีหวาน,0.8202663064002991
ตะกร้าเหลี่ยม มีหู สีหวาน 5948 JCP,ตะกร้า-เหลี่ยม มีหู สีหวาน 5948 JCP,0.9915128946304321
ตะกร้าเหลี่ยม มีหู สีหวาน 5948 JCP,ตะกร้า - เหลี่ยม 5953 หูหิ้วคู่ JCP,0.8508569598197937
ตะกร้าเหลี่ยม มีหู สีหวาน 5948 JCP,กล่องล็อค8030หูคู่สีหวาน,0.8202663064002991
ตะแกรงเหลี่ยม 818 KT,ห่วงตากผ้ากลม 814 KT,0.8052911758422852
ตะแกรงเหลี่ยม 818 KT,ถาดกลมลาย 677 W,0.7883042097091675
ตะแกรงเหลี่ยม 818 KT,หกเหลี่ยม 8 ตัว โซโล #901 HT,0.7787242531776428
ตะกร้าเหลี่ยม 5953 หูหิ้ว JCP,ตะกร้า - เหลี่ยม 5953 หูหิ้วคู่ JCP,0.9736923575401306
ตะกร้าเหลี่ยม 5953 หูหิ้ว JCP,ตะกร้า-เหลี่ยม มีหู สีหวาน 5948 JCP,0.8367265462875366
ตะกร้าเหลี่ยม 5953 หูหิ้ว JCP,ขันด้าม 5701 (คิทตี้) JCP,0.8279565572738647
เก้าอี้ซักผ้าเหลี่ยมหลามตัด 9026 สีหวาน AB,เก้าอี้ซักผ้าเหลี่ยม - หลามตัด 9026 สีหวาน AE,0.9745110869407654
เก้าอี้ซักผ้าเหลี่ยมหลามตัด 9026 สีหวาน AB,เก้าอี้ซักผ้า 345 สีสด A (AY),0.897336483001709
