new_product,matched_old_product,score
โหลเหลี่ยมมน048-M (กลาง) BG,โหลเหลี่ยมมน 048-S (เล็ก) BG,0.89919114112854
กระชอน24cm LH-669/LH-5097 ด้ามเลส,ถาดกลมเลส 34 cm LH-4414 TLH,0.8989664316177368
"กระบวยโฟกัส 4"" #500 (ดำ/แดง) แบล็คไลท์","ตะหลิวโฟกัส-ยาว 4"" #400 (ดำ) แบล็คไลท์",0.8983142971992493
มีด194 KW,มีด 193 KW,0.8979743719100952
ฟิวเจอร์บอร์ดผืนผ้า-ใหญ่ คละสี8165,ฟิวเจอร์บอร์ดผืนผ้า - ใหญ่ คละสี 81*65 ซม,0.89792400598526
ไส้แม็กซ์เบอร์10กล่องเขียว-MAX(1*2),ไส้แม็กซ์เบอร์ 10 กล่องเขียว - MAX (1*24),0.8976713418960571
ไส้แม็กซ์เบอร์10กล่องเขียว-MAX(1*2),ไส้แม็กซ์เบอร์ 10 กล่องเขียว - MAX (1*24),0.8976713418960571
ทัพพีจีนใหญ่ด้ามพลาสติกสี ตราสมอ (P25),ทัพพีจีนใหญ่ - ด้ามพลาสติกสี ตราสมอ PPL,0.8974355459213257
เก้าอี้ซักผ้าเหลี่ยมหลามตัด 9026 สีหวาน AB,เก้าอี้ซักผ้า 345 สีสด A (AY),0.897336483001709
โหลเหลี่ยมมน048-M (กลาง) BG,โหลเหลี่ยมมน 048-5 (เล็ก) BG,0.8970184326171875
ตะหลิวด้ามดำใหญ่ 40ซม. #205 PL,ตะหลิวด้ามดำ - กลาง 30 ซม #204 PL,0.8965998888015747
ตะหลิวด้ามดำใหญ่ 40ซม. #205 PL,ตะหลิวด้ามดำ - กลาง 30 ซม #204 PL,0.8965998888015747
กระปุกกลม ช้อน3002 AY,กระปุกกลม - ซ้อน 3002 AY,0.8944644331932068
"คีบสลัดใหญ่15""(หนา) FW-086 แพคครึ่ง","คีบสลัดเล็ก 10"" (หนา) FW-088 แพ็คครึ่ง",0.8943119049072266
ตะกร้าฝาปิดหูหิ้ว 321-3N สีNEW (ใหญ่) VJ,ตะกร้าฝาปิด (กลาง) หูหิ้ว 321/2 VJ,0.8942977786064148
ตะแกรงเหลี่ยม 900 สีเข้ม RTH,ตะแกรงเหลี่ยม 900 สีหวาน RTH,0.8940569162368774
"กระบวยโฟกัส 4"" #500 (ดำ/แดง) แบล็คไลท์","ตะหลิวโฟกัส - ยาว 4"" #400 (ดำ) แบล็คไลท์",0.892941951751709
ถังหิ้ว10 สี OS,ถังนิ้ว 10 สี OS,0.8917490839958191
ตะแกรงใหญ่ 519 DMT,ขันด้าม 505 DMT,0.8911266922950745
ลิ้นชัก A4 ชั้นใส โครงสี #2011-2,ลิ้นชัก A4 3 ชั้น ใส-โครงสี #2011-2 (UPI220),0.8911182880401611
กะละมัง 549 สี SMK,กะละมัง 004/53 สี SP,0.891109049320221
กล่องล็อค 560/1 หูหิ้ว W,กล่องล็อค-หูคู่4404,0.890914797782898
ลวกเส้น-เลสตาข่าย12ซม S-102,ลวกเส้น-เลสตาข่าย 12 ซม SJ-102 (ด้ามเลส),0.8907386064529419
กระชอน24cm LH-669/LH-5097 ด้ามเลส,ถาดกลมเลส 32 cm LH-4413 TLH,0.890213131904602
เก้าอี้ซักผ้ากลม 9025 สีหวาน AB V-NICE,เก้าอี้ซักผ้า 345 สีสด A (AY),0.8900949358940125
กล่องเหลี่ยม2161 W,กล่องเหลียม535/1,0.8898701071739197
ขวดนม2ออนซ์ กลม-RB113 ROY,ขวดนม8ออนซ์โด้ง,0.8887149095535278
แม็กซ์ ต.หัวโตเดี่ยว #21002 TLL,ไขควงตัว T 13-19 #2503 TLL,0.8886022567749023
ตะหลิวด้ามดำใหญ่ 40ซม. #205 PL,กระบวยด้ามดำ - กลาง 30 ซม. #204A PL,0.8878175616264343
ตะหลิวด้ามดำใหญ่ 40ซม. #205 PL,กระบวยด้ามดำ - กลาง 30 ซม. #204A PL,0.8878175616264343
ลูกเหม็น จัมโบ้ 13 (100) (20066) ATM,ลูกเหม็น-จัมโบ้ 1*6 (20บ) ATM,0.8875988721847534
"ตะหลิวยาว4""ไม้ HFW-039 ม้าน้ำ MIFL","ตะหลิวยาว 4"" ด้ามดำ #FW-038 ม้าน้ำ MIFL",0.8865019083023071
กล่องเหลี่ยมใหญ่74-72 DB,กล่องเหลี่ยมใหญ่T4-72DB,0.8856996297836304
เก้าอี้ซักผ้าเหลี่ยมหลามตัด 9026 สีหวาน AB,เก้าอี้ซักผ้า - หน้ากลม 346 สีสด A (AY),0.8855684995651245
กล่องแช่เหลี่ยม4424 SRT,กล่องแช่ 4401 SRT,0.8852256536483765
"คีบบาร์บีคิว ยาว15"" FW-090 MIFL","คีบหัวใบไม้ใหญ่ 13"" FW-082 MIFL",0.8851678371429443
แปรงซิลิโคน-ด้ามใสหุ้ม 10797,พายซิลิโคน + แปรง (ด้ามใส) #5051 IMM,0.8846340775489807
กล่องเหลี่ยม2161 W,กล่องเหลี่ยม 218/3 W,0.884350061416626
กล่องล็อค 560/1 หูหิ้ว W,กล่องล็อค-หูคู่4405 csc,0.8839367628097534
กะละมัง 60 สี AC,กะละมัง 60 ดำ AC,0.8838564157485962
กะละมัง 549 สี SMK,กะละมัง 549 ดำ SMK,0.8838268518447876
เก้าอี้ซักผ้ากลม 9025 สีหวาน AB V-NICE,เก้าอี้ซักผ้า - หน้ากลม 346 สีสด A (AY),0.8835140466690063
กล่องล็อค 560 หูหิ้ว W,กล่องล็อค-หูคู่4404,0.8832371234893799
"คีบหัวใบไม้สั้น9"" FW-083 MIFL","คีบขนมปัง 12"" FW-084 MIFL",0.8830716609954834
ช้อนส้อมหนา 1คู่ (NO.2) PS-444-16,ช้อนส้อมด้ามมน กก.2 #PS-444-9 PL,0.8824441432952881
โหลเหลี่ยมมน048-M (กลาง) BG,โหลเหลี่ยม - ใหญ่ (คลาสิก) 048-X BG,0.8817381858825684
ตะหลิวม้าลาย-กลาง(บาร์42102)**ไม่รับคืน,ตะหลิวม้าลาย - กลาง (บาร์-42102) **ไม่รับคืน/เปลี่ยน,0.8812460899353027
กะละมังเหลี่ยม 666 OS,กะละมังเหลี่ยม 888 OS **,0.8811750411987305
ถุงเพาะชำ26 0.15มม RP,ถุงซิป 23*35 ซม. 4 ใบ: ถุง (112) 20 บ. RPI,0.8810177445411682
กระปุกกลม ช้อน3002 AY,กระปุกกลม 3001 AY,0.8805862665176392
กล่องล้อ K-1200,กล่องล้อ K-600,0.8798900842666626
เขียงพลาสติก-เล็ก NO.1693,เข่งพลาสติก(ดำ) No.50/3 (ตาราง)(เล็ก),0.879806399345398
กล่องล้อ K-1000,กล่องล้อ K-1200,0.8797717094421387
"คีบหัวใบไม้ใหญ่13"" FW-082 MIFL",คีบต่อ - คอใหญ่ FW-075 MIFL,0.8796651363372803
สมุดริมลวด-กลาง A5 #84253 W,สมุดริมลวด A5 #10272 ปกกระดาษ (21*14.8),0.8794807195663452
กล่องเหลี่ยม-เล็ก585-S SMT,กล่องกลม 781 SMT,0.8787884712219238
ใบขัดด้ามเตารีดเดี่ยว(ด้ามแปรงขัดพื้น),ใยขัดด้ามเตารีดเดี่ยว (ด้ามแปรงขัดพื้น),0.8785718083381653
กล่องล็อค 561/1 W,กล่องล็อค553smt,0.8781652450561523
กะละมัง 058 สี OS,กะละมังดอกไม้ 044 สีเข้ม OS,0.8775116801261902
"คีบสลัดใหญ่15"" (บาง) FW-143 แพคโหล","คีบสลัด - ใหญ่ 15"" (หนา) FW-086 แพ็คครึ่ง",0.8754152655601501
ช้อนส้อมหนา 1คู่ (NO.2) PS-444-16,ช้อนส้อม - หนา 1 คู่ #PS-333-3 ขาวน้ำเงิน P,0.8753619194030762
ช้อนส้อมหนา 1คู่ (NO.2) PS-444-16,ช้อนส้อม - หนา 1 คู่ #PS-333-1 ลายแดง PL,0.8747410178184509
ขวดสเปรย์เหลี่ยมลาย50ml #6343 IMM,BY508 ขวดสเปรย์ 500ml. คละสี (144),0.8745843172073364
ลูกเหม็น จัมโบ้ 16 (201) (20068) ATM,ลูกเหม็น-จัมโบ้ 1*6 (20บ) ATM,0.8740242719650269
กล่องล็อค 560 หูหิ้ว W,กล่องล็อค-หูคู่4405 csc,0.87372887134552
กล่องแซ่4402 SRT,กล่องแช่เหลี่ยม 4425 SRT,0.8733806610107422
ถาดเหลี่ยม590 สีเนื้อ(PS) SMT,ตะกร้าเหลี่ยม - สีหวาย 922 SMT,0.8731927871704102
กล่องเหลี่ยม589 ขาวใส SMT,กล่องกลม 781 SMT,0.8727566003799438
ฟิวเจอร์บอร์ดผืนผ้า-ใหญ่ สีขาวล้วน8165,ฟิวเจอร์บอร์ดเล็ก - ผืนผ้า สีขาวล้วน 49*65 ซม,0.8722963333129883
ตะแกรง 1990 สีใส-สีสด SRT,ตะกร้า 43 สีใส - สีสด SRT,0.8720345497131348
ถัง+ฝา 12 สี BP,ถัง ปูน 15 สี SP,0.8714927434921265
เขียงพลาสติก-เล็ก NO.1693,ตะไบด้ามพลาสติก #200-8 (หยาบละเอียด),0.8701814413070679
เก้าอี้เตี้ย 555 สีหวาน MM,เก้าอี้เตี้ย610AB,0.8701691627502441
ถัง+ฝา 12 สี BP,ถัง + ฝา 30 สี SP,0.8696935176849365
ขันปั้มลายไทย กระเช้า NO.22 M,ขันปั๊มลายไทย-กระเช้าno.22,0.8689216375350952
"วางเค้กใหญ่#1 (L) VS,BOMM",วางเค้กใหญ่#1,0.8688319325447083
นส.8 สี SP,น.ส. 12 สี SP,0.8686810731887817
หูฟัง SMALL TALK (ซองซิป)#HF603,หูฟังSmall Talk(ซองชิป),0.8682056665420532
ขวดสเปรย์เหลี่ยมลาย50ml #6343 IMM,ขวดซอส 7016 BG,0.8673186302185059
ขันปั้มลายไทย กระเช้า NO.22 M,ขันปั๊มลายไทย NO.14 TM,0.8671646118164062
ลูกเหม็น จัมโบ้ 13 (100) (20066) ATM,ลูกเหม็น-จัมโบ้ 1*3 (10บ) ATM,0.8668273687362671
ลูกเหม็น 100g (200) ซองเหลือง (20091),ลูกเหม็น100gซองเหลือง,0.8659234046936035
สมุดริมลวด-กลาง A5 #84253 W,สมุดริมลวด A5 #10494 ปกกระดาษ (21*14.8),0.8653275966644287
