ลำดับ,รายการ,จำนวน,ราคา/หน่วย,หน่วย,จำนวนเงิน,cost,ราคาขาย,Barcode
1,ไม้แขวนเสื้อ - ลวด 111 หนุมาน STCP,5 ลัง,572,12,2860,48,79,
2,แขวนเสื้อลวด+หนีบ 99 SM,2 ลัง,495,12,990,41,59,
3,กล่องล็อค 560 หูหิ้ว W,1 โหล,637,12,637,53,79,
4,กล่องล็อค(39) 561 WW,1 โหล,449,12,449,37,69,
5,กล่องล็อค 560/1 หูหิ้ว W,1 โหล,480,12,480,40,69,
6,กล่องล็อค 561/1 W,1 โหล,306,12,306,26,39,
7,ถัง+ฝา 12 สี BP,2 โหล,1000,12,2000,83,139,
8,เข่ง NO.2 (สี) N,10 ชิ้น,107,1,1070,107,179,
9,กะละมังเหลี่ยม 666 OS,1 โหล,587,12,587,49,79,
10,กะละมัง 549 สี SMK,2 โหล,340,12,680,28,49,
11,กะละมัง 058 สี OS,1 โหล,555,12,555,46,79,
12,เก้าอี้ซักผ้ากลม 9025 สีหวาน AB V-NICE,1 โหล,195,12,195,16,25,
13,เก้าอี้ซักผ้ากลม #9076D สีดำ WCP,1 โหล,188,12,188,16,25,
14,เก้าอี้เตี้ย สีดำ S-0072B SIP,1 โหล,196,12,196,16,25,
15,เก้าอี้เตี้ย 555 สีหวาน MM,1 โหล,220,12,220,18,30,
16,เก้าอี้เตี้ย 366 สีหวาน Bl,1 โหล,190,12,190,16,25,
17,คราดมือเสือ 023 NCL,4 โหล,540,12,2160,45,79,
18,ถัง+ฝา 4.5 SRT,1 โหล,735,12,735,61,99,
19,ถังน้ำฝาใส (ใหญ่) 728-PO SMT,1 โหล,1253,12,1253,104,169,
20,ตะแกรง 1991 สีใส SRT,1 โหล,563,12,563,47,79,
21,ตะแกรง 1990 สีใส-สีสด SRT,1 โหล,770,12,770,64,99,
22,ตะแกรงเหลี่ยม จัมโบ้ 1989 SRT,6 ชิ้น,82,1,492,82,139,
23,ตะแกรงเหลี่ยม 900 สีเข้ม RTH,1 โหล,390,12,390,33,59,
24,ตะแกรง 9831 SMT,1 โหล,730,12,730,61,99,
25,ตะกร้าเหลี่ยมเตี้ย 4000 สีเข้ม OS,2 โหล,512,12,1024,43,69,
26,ตะกร้ากลม 9899/3 สีใส SMT,2 โหล,297,12,594,25,39,
27,ตะกร้าเหลี่ยม มีหู สีหวาน 5948 JCP,1 โหล,1020,12,1020,85,159,
28,ตะกร้าเหลี่ยม มีหู สีหวาน 5948 JCP,1 ชิ้น,85,1,85,85,159,
29,ตะแกรงเหลี่ยม 818 KT,3 โหล,93,12,279,8,15,
